participant_code,session_code,experiment,prolific_id,part_num,round_number,allocation,kept,random_payoff_part,is_delegation,delegate_decision_optional,comprehension_attempts,incorrect_answers,is_excluded,gender,age,occupation,ai_use,task_difficulty,feedback
7qwx56da,g8ipdqfm,Rule Based Delegation First,123456789012345678901234,1,1,2,98,1.0,True,,0,,False,male,23.0,sdasd,weekly,easy,
7qwx56da,g8ipdqfm,Rule Based Delegation First,123456789012345678901234,1,2,23,77,1.0,True,,0,,False,male,23.0,sdasd,weekly,easy,
7qwx56da,g8ipdqfm,Rule Based Delegation First,123456789012345678901234,1,3,23,77,1.0,True,,0,,False,male,23.0,sdasd,weekly,easy,
7qwx56da,g8ipdqfm,Rule Based Delegation First,123456789012345678901234,1,4,23,77,1.0,True,,0,,False,male,23.0,sdasd,weekly,easy,
7qwx56da,g8ipdqfm,Rule Based Delegation First,123456789012345678901234,1,5,12,88,1.0,True,,0,,False,male,23.0,sdasd,weekly,easy,
7qwx56da,g8ipdqfm,Rule Based Delegation First,123456789012345678901234,1,6,23,77,1.0,True,,0,,False,male,23.0,sdasd,weekly,easy,
7qwx56da,g8ipdqfm,Rule Based Delegation First,123456789012345678901234,1,7,43,57,1.0,True,,0,,False,male,23.0,sdasd,weekly,easy,
7qwx56da,g8ipdqfm,Rule Based Delegation First,123456789012345678901234,1,8,11,89,1.0,True,,0,,False,male,23.0,sdasd,weekly,easy,
7qwx56da,g8ipdqfm,Rule Based Delegation First,123456789012345678901234,1,9,23,77,1.0,True,,0,,False,male,23.0,sdasd,weekly,easy,
7qwx56da,g8ipdqfm,Rule Based Delegation First,123456789012345678901234,1,10,32,68,1.0,True,,0,,False,male,23.0,sdasd,weekly,easy,
7qwx56da,g8ipdqfm,Rule Based Delegation First,123456789012345678901234,2,11,23,77,1.0,False,False,0,,False,male,23.0,sdasd,weekly,easy,
7qwx56da,g8ipdqfm,Rule Based Delegation First,123456789012345678901234,2,12,23,77,1.0,False,False,0,,False,male,23.0,sdasd,weekly,easy,
7qwx56da,g8ipdqfm,Rule Based Delegation First,123456789012345678901234,2,13,12,88,1.0,False,False,0,,False,male,23.0,sdasd,weekly,easy,
7qwx56da,g8ipdqfm,Rule Based Delegation First,123456789012345678901234,2,14,32,68,1.0,False,False,0,,False,male,23.0,sdasd,weekly,easy,
7qwx56da,g8ipdqfm,Rule Based Delegation First,123456789012345678901234,2,15,32,68,1.0,False,False,0,,False,male,23.0,sdasd,weekly,easy,
7qwx56da,g8ipdqfm,Rule Based Delegation First,123456789012345678901234,2,16,12,88,1.0,False,False,0,,False,male,23.0,sdasd,weekly,easy,
7qwx56da,g8ipdqfm,Rule Based Delegation First,123456789012345678901234,2,17,21,79,1.0,False,False,0,,False,male,23.0,sdasd,weekly,easy,
7qwx56da,g8ipdqfm,Rule Based Delegation First,123456789012345678901234,2,18,21,79,1.0,False,False,0,,False,male,23.0,sdasd,weekly,easy,
7qwx56da,g8ipdqfm,Rule Based Delegation First,123456789012345678901234,2,19,12,88,1.0,False,False,0,,False,male,23.0,sdasd,weekly,easy,
7qwx56da,g8ipdqfm,Rule Based Delegation First,123456789012345678901234,2,20,12,88,1.0,False,False,0,,False,male,23.0,sdasd,weekly,easy,
7qwx56da,g8ipdqfm,Rule Based Delegation First,123456789012345678901234,3,21,23,77,1.0,True,True,0,,False,male,23.0,sdasd,weekly,easy,
7qwx56da,g8ipdqfm,Rule Based Delegation First,123456789012345678901234,3,22,23,77,1.0,True,True,0,,False,male,23.0,sdasd,weekly,easy,
7qwx56da,g8ipdqfm,Rule Based Delegation First,123456789012345678901234,3,23,23,77,1.0,True,True,0,,False,male,23.0,sdasd,weekly,easy,
7qwx56da,g8ipdqfm,Rule Based Delegation First,123456789012345678901234,3,24,1,99,1.0,True,True,0,,False,male,23.0,sdasd,weekly,easy,
7qwx56da,g8ipdqfm,Rule Based Delegation First,123456789012345678901234,3,25,23,77,1.0,True,True,0,,False,male,23.0,sdasd,weekly,easy,
7qwx56da,g8ipdqfm,Rule Based Delegation First,123456789012345678901234,3,26,23,77,1.0,True,True,0,,False,male,23.0,sdasd,weekly,easy,
7qwx56da,g8ipdqfm,Rule Based Delegation First,123456789012345678901234,3,27,23,77,1.0,True,True,0,,False,male,23.0,sdasd,weekly,easy,
7qwx56da,g8ipdqfm,Rule Based Delegation First,123456789012345678901234,3,28,23,77,1.0,True,True,0,,False,male,23.0,sdasd,weekly,easy,
7qwx56da,g8ipdqfm,Rule Based Delegation First,123456789012345678901234,3,29,23,77,1.0,True,True,0,,False,male,23.0,sdasd,weekly,easy,
7qwx56da,g8ipdqfm,Rule Based Delegation First,123456789012345678901234,3,30,23,77,1.0,True,True,0,,False,male,23.0,sdasd,weekly,easy,
